Date,Volume
2020-03-01,2661246
2020-04-01,5961246
2020-05-01,6261246
2020-06-01,6461246
2020-07-01,7411246
2020-08-01,7461246
2020-09-01,7981246
2020-10-01,8181246
2020-11-01,9476396
2020-12-01,14776396
2021-01-01,15526396
2021-02-01,22776396
2021-03-01,23476396
2021-04-01,23626396
2021-05-01,23826396
2021-06-01,24056396
2021-07-01,24456396
2021-08-01,24517296
2021-09-01,25315704
2021-10-01,25695084
2021-11-01,26020534
2021-12-01,26343108
2022-01-01,26661579
2022-02-01,27037979
2022-03-01,27418664
2022-04-01,27871913
2022-05-01,28343883
2022-06-01,28782862
2022-07-01,29217411
2022-08-01,29651911
2022-09-01,30090818
2022-10-01,30602167
2022-11-01,31144297
2022-12-01,31645958
2023-01-01,32146407
2023-02-01,32970707
2023-03-01,33796069
2023-04-01,34735418
2023-05-01,35532007
2023-06-01,35732273
2023-07-01,36429531
2023-08-01,39551726
2023-09-01,40574726
2023-10-01,41800231
2023-11-01,43013581
2023-12-01,44225581
2024-01-01,45437581
2024-02-01,47949581
2024-03-01,50146541
2024-04-01,50993741
2024-05-01,52140941
2024-06-01,51695711
2024-07-01,52862911
2024-08-01,53898101
2024-09-01,54950161
2024-10-01,56500561
2024-11-01,58350961
2024-12-01,59901361
2025-01-01,62382778
2025-02-01,64283178
2025-03-01,66133578
2025-03-28,67983978
2025-06-11,73587618
2025-07-28,77841258
2025-08-09,77841258
2025-09-11,79891658
2025-10-03,81442058
2025-11-02,83492458
2025-12-05,86042858
2026-01-16,88049258
2026-02-06,89599658
2026-03-24,91150058
2026-04-08,92700458
2026-04-24,92700458
2026-05-06,94250858
2026-06-10,96500858
2026-07-02,100700858
2026-08-01,104900858
