Period Start,Period End,Monthly Return,Cumulative Return,Confidence
2020-04-01,2020-05-01,0.0946949455,0.0946949455,confirmed
2020-05-01,2020-06-01,0.0809596415,0.1833210558,confirmed
2020-06-01,2020-07-01,-0.3713486478,-0.2561036182,confirmed
2020-07-01,2020-08-01,0.0023248140,-0.2543741974,confirmed
2020-08-01,2020-09-01,0.0094471919,-0.2473301274,confirmed
2020-09-01,2020-10-01,-0.0038641741,-0.2502385748,confirmed
2020-10-01,2020-11-01,-0.0479862295,-0.2862167986,confirmed
2020-11-01,2020-12-01,0.1593401209,-0.1724824970,confirmed
2020-12-01,2021-01-01,0.0287316602,-0.1487065453,confirmed
2021-01-01,2021-02-01,0.1325049987,-0.0359059072,confirmed
2021-02-01,2021-03-01,-0.0402919727,-0.0747511601,confirmed
2021-03-01,2021-04-01,0.0178560237,-0.0582298948,confirmed
2021-04-01,2021-05-01,-0.0671634890,-0.1214824609,confirmed
2021-05-01,2021-06-01,-0.0488738016,-0.1644189528,confirmed
2021-06-01,2021-07-01,0.0583227396,-0.1156855769,confirmed
2021-07-01,2021-08-01,0.0271768784,-0.0916526714,confirmed
2021-08-01,2021-09-01,0.0259135475,-0.0681141698,confirmed
2021-09-01,2021-10-01,-0.0566312753,-0.1208880527,confirmed
2021-10-01,2021-11-01,0.0810827999,-0.0496071947,confirmed
2021-11-01,2021-12-01,0.3263561204,0.2605593142,confirmed
2021-12-01,2022-01-01,0.0594218464,0.3354640762,confirmed
2022-01-01,2022-02-01,-0.1524826896,0.1318289220,confirmed
2022-02-01,2022-03-01,-0.0890454622,0.0310446924,confirmed
2022-03-01,2022-04-01,-0.0217875869,0.0085807166,confirmed
2022-04-01,2022-05-01,-0.1185378532,-0.1109742763,confirmed
2022-05-01,2022-06-01,0.0337787707,-0.0809440802,confirmed
2022-06-01,2022-07-01,-0.1983136162,-0.2632053831,confirmed
2022-07-01,2022-08-01,0.2680829689,-0.0656832948,confirmed
2022-08-01,2022-09-01,-0.1378990202,-0.1945246529,confirmed
2022-09-01,2022-10-01,-0.1379692029,-0.3056554445,confirmed
2022-10-01,2022-11-01,-0.0855045051,-0.3650250321,confirmed
2022-11-01,2022-12-01,0.1888792768,-0.2450914193,confirmed
2022-12-01,2023-01-01,-0.1772874620,-0.3789272456,confirmed
2023-01-01,2023-02-01,0.3685669193,-0.1500203739,confirmed
2023-02-01,2023-03-01,-0.0412775603,-0.1851054592,confirmed
2023-03-01,2023-04-01,0.2103569676,-0.0136867147,confirmed
2023-04-01,2023-05-01,-0.0859531290,-0.0984634278,confirmed
2023-05-01,2023-06-01,0.4218949708,0.2818903180,confirmed
2023-06-01,2023-07-01,-0.0090970225,0.2702289330,confirmed
2023-07-01,2023-08-01,0.0282405981,0.3061009578,confirmed
2023-08-01,2023-09-01,-0.1010775412,0.1740834844,confirmed
2023-09-01,2023-10-01,-0.0903728322,0.0679782347,confirmed
2023-10-01,2023-11-01,-0.0084876980,0.0589135579,confirmed
2023-11-01,2023-12-01,0.1646095217,0.2332208122,confirmed
2023-12-01,2024-01-01,0.2875933715,0.5878869434,confirmed
2024-01-01,2024-02-01,0.0289351490,0.6338326887,confirmed
2024-02-01,2024-03-01,-0.0137863336,0.6113081262,confirmed
2024-03-01,2024-04-01,0.0253792508,0.6522019193,confirmed
2024-04-01,2024-05-01,0.0250675966,0.6936186505,confirmed
2024-05-01,2024-06-01,0.0014386241,0.6960551311,confirmed
2024-06-01,2024-07-01,-0.0106998986,0.6779075131,confirmed
2024-07-01,2024-08-01,-0.0106074448,0.6601092018,confirmed
2024-08-01,2024-09-01,0.0206609497,0.6944086345,confirmed
2024-09-01,2024-10-01,0.0436244107,0.7683262127,confirmed
2024-10-01,2024-11-01,-0.0562879851,0.6687906931,confirmed
2024-11-01,2024-12-01,-0.0363663857,0.6081028071,confirmed
2024-12-01,2025-01-01,-0.1413356122,0.3808206124,confirmed
2025-01-01,2025-02-01,-0.0627999391,0.2941051621,confirmed
2025-02-01,2025-03-01,-0.1518222320,0.0976312279,confirmed
2025-03-01,2025-04-01,-0.0679991645,0.0229932214,confirmed
2025-04-01,2025-05-01,-0.0556685477,-0.0339553255,confirmed
2025-05-01,2025-06-01,0.2002776012,0.1595217846,confirmed
2025-06-01,2025-07-01,0.2898322727,0.4955886187,confirmed
2025-07-01,2025-08-01,0.5757644899,1.3566954368,confirmed
2025-08-01,2025-09-01,-0.1046381419,1.1100952052,confirmed
2025-09-01,2025-10-01,0.0552004032,1.2265733114,confirmed
2025-10-01,2025-11-01,0.3999546126,2.1171015776,confirmed
2025-11-01,2025-12-01,-0.0760002429,1.8802011005,confirmed
2025-12-01,2026-01-01,-0.0464998562,1.7462721634,confirmed
2026-01-01,2026-02-01,0.0845294161,1.9784129457,confirmed
2026-02-01,2026-03-01,-0.1145908559,1.6371140571,confirmed
2026-03-01,2026-04-01,0.0300713210,1.7164155604,confirmed
2026-04-01,2026-05-01,0.3211389414,2.5887623780,confirmed
2026-05-01,2026-06-01,0.1210031804,3.0230140392,confirmed
2026-06-01,2026-07-01,0.0051554111,3.0437543305,confirmed
2026-07-01,2026-08-01,-0.0714078937,2.7549983513,confirmed
2026-08-01,2026-09-01,-0.0096593386,2.7187275507,recorded
