Date,Asset Type,Plans?,Securities Firm,Ticker,Volume
2025-03-28,공격형 투자,No,나무증권,AMD3,1569154
2025-03-28,공격형 투자,No,나무증권,AMDL,1592123
2025-03-28,공격형 투자,No,나무증권,GGLL,4779010
2025-03-28,공격형 투자,No,삼성증권,AMD3,2126581
2025-03-28,공격형 투자,No,키움증권,AMDL,4926851
2025-03-28,미래기술 투자,No,나무증권,IONQ,742200
2025-03-28,예금,No,카카오뱅크,,20000000
2025-03-28,일반 투자,No,키움증권,ADBE,7935212
2025-06-11,공격형 투자,No,나무증권,AMD3,1729672
2025-06-11,공격형 투자,No,나무증권,AMDL,1895582
2025-06-11,공격형 투자,No,나무증권,GGLL,5702406
2025-06-11,공격형 투자,No,삼성증권,AMD3,7370347
2025-06-11,공격형 투자,No,키움증권,AMDL,11488571
2025-06-11,미래기술 투자,No,나무증권,IONQ,1206295
2025-06-11,예금,No,카카오뱅크,,20045534
2025-06-11,일반 투자,No,나무증권,인베니아,1545912
2025-06-11,일반 투자,No,키움증권,ADBE,4560819
2025-07-28,공격형 투자,No,나무증권,GGLL,6357454
2025-07-28,공격형 투자,No,키움증권,GGLL,5652393
2025-07-28,미래기술 투자,No,나무증권,IONQ,1293000
2025-07-28,예금,No,나무증권,,4600000
2025-07-28,예금,No,삼성증권,,19315729
2025-07-28,예금,No,카카오뱅크,,23586627
2025-07-28,예금,No,키움증권,,15900000
2025-07-28,일반 투자,No,나무증권,인베니아,1713983
2025-07-28,일반 투자,No,나무증권,AMD,3570000
2025-07-28,일반 투자,No,키움증권,AMD,6476907
2025-08-09,미래기술 투자,No,나무증권,IONQ,1270827
2025-08-09,미래기술 투자,No,키움증권,STKH,143138
2025-08-09,배당주,No,삼성증권,SCHD,15208814
2025-08-09,배당주,No,키움증권,KO,15463541
2025-08-09,예금,No,대신증권,,424415
2025-08-09,예금,No,우리은행,,343818
2025-08-09,예금,No,우리은행,,9512051
2025-08-09,예금,No,카카오뱅크,,24591883
2025-08-09,예금,No,KB증권,,114173
2025-08-09,일반 투자,No,나무증권,인베니아,1601484
2025-08-09,일반 투자,No,나무증권,AMD,3604423
2025-08-09,일반 투자,No,나무증권,GOOGL,6945223
2025-08-09,일반 투자,No,키움증권,AMD,6527125
2025-08-09,일반 투자,No,키움증권,GOOGL,6143250
2025-09-11,공격형 투자,No,나무증권,AMDL,3346489
2025-09-11,공격형 투자,No,삼성증권,AMDL,5452333
2025-09-11,미래기술 투자,No,나무증권,IONQ,1348634
2025-09-11,미래기술 투자,No,키움증권,STKH,100000
2025-09-11,미래기술 투자,No,KB증권,RGTI,607857
2025-09-11,배당주,No,삼성증권,SCHD,10436591
2025-09-11,배당주,No,키움증권,KO,14798226
2025-09-11,예금,No,우리은행,,1000000
2025-09-11,예금,No,우리은행,,9062781
2025-09-11,예금,No,키움저축은행,,24016057
2025-09-11,일반 투자,No,나무증권,인베니아,1684842
2025-09-11,일반 투자,No,나무증권,GOOGL,8333119
2025-09-11,일반 투자,No,키움증권,AMD,6016593
2025-09-11,일반 투자,No,키움증권,GOOGL,7355891
2025-10-03,공격형 투자,No,나무증권,AMDL,3746882
2025-10-03,공격형 투자,No,삼성증권,AMDL,6125210
2025-10-03,공격형 투자,No,키움증권,AMDL,6870438
2025-10-03,미래기술 투자,No,나무증권,IONQ,2121007
2025-10-03,미래기술 투자,No,키움증권,STKH,178563
2025-10-03,미래기술 투자,No,KB증권,RGTI,1321223
2025-10-03,배당주,No,삼성증권,SCHD,10576308
2025-10-03,배당주,No,키움증권,KO,14635499
2025-10-03,예금,No,우리은행,,9239548
2025-10-03,예금,No,키움저축은행,,27952902
2025-10-03,일반 투자,No,나무증권,인베니아,1361514
2025-10-03,일반 투자,No,나무증권,GOOGL,8607532
2025-10-03,일반 투자,No,키움증권,GOOGL,7566791
2025-11-02,미래기술 투자,No,나무증권,IONQ,2129673
2025-11-02,미래기술 투자,No,삼성증권,IONQ,1686805
2025-11-02,미래기술 투자,No,삼성증권,RGTI,1701136
2025-11-02,미래기술 투자,No,키움증권,STKH,136460
2025-11-02,미래기술 투자,No,KB증권,RGTI,1705468
2025-11-02,배당주,No,삼성증권,SCHD,7461837
2025-11-02,배당주,No,키움증권,KO,15867284
2025-11-02,예금,No,우리은행,,9387145
2025-11-02,예금,No,키움저축은행,,31008278
2025-11-02,일반 투자,No,나무증권,인베니아,1273104
2025-11-02,일반 투자,No,나무증권,AMD,7677423
2025-11-02,일반 투자,No,나무증권,GOOGL,9987306
2025-11-02,일반 투자,No,삼성증권,AMD,12757849
2025-11-02,일반 투자,No,키움증권,AMD,14287808
2025-11-02,일반 투자,No,키움증권,GOOGL,8848712
2025-12-05,미래기술 투자,No,나무증권,IONQ,3971768
2025-12-05,미래기술 투자,No,나무증권,RGTI,1312195
2025-12-05,미래기술 투자,No,삼성증권,IONQ,1473957
2025-12-05,미래기술 투자,No,삼성증권,RGTI,1105182
2025-12-05,미래기술 투자,No,키움증권,STKH,129919
2025-12-05,미래기술 투자,No,KB증권,RGTI,1098333
2025-12-05,배당주,No,삼성증권,SCHD,7994016
2025-12-05,배당주,No,키움증권,KO,16775847
2025-12-05,예금,No,나무증권,,501430
2025-12-05,예금,No,우리은행,,1229340
2025-12-05,예금,No,키움저축은행,,29544292
2025-12-05,예금,No,키움증권,,220398
